web-scraper-order,web-scraper-start-url,title_raw,address_raw,price_raw,description_raw
"1678953522-601","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Velounterstand / Fahrradunterstand für 3-4 Velos BikeRoof","Zürich, 8472, 26.02.2023","2'200.-","Velounterstand / Fahrradunterstand für 3-4 Velos BikeRoof
BikeRoof 1.50 m, 
Dach vor und zurück leicht schiebbar, stabil, Seitenwand befindet sich links, Veloständer für 4 Räder, Breite 160 cm, Tiefe mindestens 140 cm mit Dach eingefahren, 200 cm mit Dach nach vorne, Höhe ca. 143 cm, feuerverzinkt grau
Gebraucht, aber in sehr gutem Zustand, muss in Seuzach ab Platz abgeholt werden, Tel. 052 338 30 70, abholbereit, Velounterstand ist sehr gefragt, fast keine Occassionen auf dem Markt. 
Bezahlung Twint oder/und bar vor oder bei Abholung

Velounterstand / Fahrradunterstand für 3-4 Velos BikeRoof"
"1678953522-602","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Thule FAHRRADTRÄGER Mod. 307130","Zürich, 8032, 26.02.2023","200.-","Da wir ohne Velos auf Reise gehen, verkaufen wir unseren Thule Fahrradträger zum Transport von zwei Elektrofahrrädern auf der Caravandeichsel (also nicht auf der Anhängerkupplung) ? Typ 307130.
Es können zwei Velos mit je einem Gewicht von 30kg transportiert werden. 
Die Masse: Breite 130cm, Höhe 85cm, Tiefe 57cm, Gewicht 9,7kg

Gekauft für rund CHF 400 ? Verkaufspreis jetzt CHF 200.-
Muss in Zürich abgeholt werden - kein Versand möglich.

Weitere Infos sind auch der Webseite von Thule (thule-caravan-superb-standard-307130) zu finden."
"1678953522-603","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Veloständer für 5 Velos","St. Gallen, 9424, 26.02.2023","15.-","Verankerbarer Veloständer für 5 Fahrräder. Einstellbreite für Räder bis 5.5 cm. Gebraucht aber gut erhalten. Muss abgeholt werden oder kann im unmittelbaren Umkreis von Rheineck auch geliefert werden (+ 5.00)"
"1678953522-604","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Hymer-Veloträger- Multitalent Tele 4","St. Gallen, 9607, 26.02.2023","320.-","- Top Zustand, unbenutzt
- Masse: [LxB(T)xH]  	1250 x 850 ? 1450 x 735 mm   

- hergestellt aus hochwertigem Aluminium
- Witterungsbeständige Materialien
- leichte Handhabung
- TÜV/GS Prüfzeichen
- Für bis zu 4 Velos geeignet = mit 4 Abstandshalter
- Maximalgewicht bei 4 Velos 60 kg
- die Aufnahmeschienen können seitlich verstellt werden
- mit Schwenkbügel zum hochschwenken, wenn keine Velos mitgeführt werden
- Befestigungsabstand 480 mm ? 1450 mm
- Montage und Installation nur durch einen Fachbetrieb 
- darf/kann nur an Wohnmobile angebaut werden
- der obere Befestigungssatz ist nicht im Lieferumfang (Typabhängig)
- Hersteller, Hymer GmbH & Co. KG
- Gewicht: komplett ca. 10.50 kg

- Selbstabholer"
"1678953522-605","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Veloständer","Bern, 3472, 26.02.2023","100.-","Veloständer verzinkt für 12 Velos. Länge 4.5m.
Gebraucht. Preis für 2 Stück 180Fr."
"1678953522-606","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Umwerfer Shimano Deore FD-M610. 3x10. E-Type","Aargau, 5210, 26.02.2023","10.-","Termin schriftlich mit mir vereinbaren, erst dann schicke ich die Abholadresse.

Umwerfer Shimano Deore FD-M610.

Geeignet für 3x10-fach Schaltsysteme.

E-Type-Befestigung.

Habe viele Velos, Mofas und Ersatzteile zu verkaufen."
"1678953522-607","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Fahrradträger Veloträger Anhängerkupplung","Glarus, 8866, 26.02.2023","390.-","Veloträger für 4 Velos,
auch für  E- Bike aufgrund 
NUTZLAST 70 KG bei entspr.Stützlast
Mittlere Ständer für Befestigung
Bequem Abkippbar , Auch Mietbar !
Modell ähnlich. Abb ähnlich"
"1678953522-608","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Velomechaniker","Bern, 3612, 26.02.2023","80.-","Ich bin gelernter Velomechaniker und bietet ihnen Velos und E Bike Service  und Reinigung an in Steffisburg bei Interesse bitte melden euch bei mir 079 470 37 30 lg R.G"
"1678953522-609","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Velokorb vorne weiss (Gratis Lieferung)","Zürich, 8004, 26.02.2023","38.-","Gratis Versand innerhalb von ca. 2-4 Arbeitstagen!
Sind Sie interessiert? Sie können direkt über den Link bestellen oder uns per Kontaktformular kontaktieren.

KORB FÜR VELOS VORNE:

- Geflochtener Korb
- Zur Anbringung am Lenker
- Leichte Montage mit Bügeln
- Mit Tragegriff
- Masse: ca. 36 x 26 x 22 cm
- Farbe gemäss Abbildung


Art. 12663"
"1678953522-610","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Veloträger","St. Gallen, 9630, 26.02.2023","70.-","Veloträger für AHK für 2 Velos (geht auch für E-Bike)."
"1678953522-611","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","THULE VeloSpace XT 3 Veloträger - zum Mieten (max. 4 Velos)","Zürich, 8000, 26.02.2023","10.-","Hallo Zusammen,

warum kaufen, wenn man mieten kann.

Beim Fahrradträger THULE VeloSpace XT 3 Veloträger handelt sich um einen Träger für bis zu 4 Fahrrädern. Für die Montage benötigt man kein Werkzeug nur eine Anhängerkupplung am Auto und ein demontierbares Nummernschild.

Die Mindestmiete beträgt 1 Woche. (weniger auf Anfrage)
Mietpreis für 1 Woche: CHF 70.00.-
Mietpreis für 2 Wochen: CHF 120.00.-

Die Kaution von CHF 200.00 sowie der Mietpreis sind bei Übergabe in Bar oder TWINT zu bezahlen.

Für Schäden, welche über die normale Beanspruchung hinausgehen, haftet der Mieter aufgrund OR 253 ff.

Anhänger kann in Zürich oder Meilen abgeholt werden.
In naher Umgebung kann er auch vorbei gebracht werden (bitte Anfragen)

sportliche Grüsse dimarsal

------------------------------------------------------------------------------------

Infos von der Produktseite:

Der vielseitige Fahrradträger für Fahrräder jeder Art ? von E-Bikes und Fatbikes bis hin zu Kinderfahrrädern.

Der vielseitige Fahrradträger

Der Thule Velospace XT ist ein vielseitiger Fahrradträger für eine breite Palette von Fahrradtypen von E-Bikes, Fatbikes und kleinen Kinderfahrrädern bis hin zu Karbonrahmen (Adapter separat erhältlich). Das Aufladen der Fahrräder erfordert nur minimales Anheben und der Kofferraum ist auch mit aufgeladenen Fahrrädern zugänglich. Sie können den Fahrradträger mit dem Thule VeloSpace XT Fahrradadapter (separat erhältlich) auf 4 Fahrräder erweitern.


- Hohe Zuladung ermöglicht den Transport von E-Bikes und schweren Mountainbikes
- Die Ladekapazität lässt sich durch Anbau des Thule VeloSpace XT Bike Adapters auf 4 Fahrräder erhöhen
- Radschienen mit Überlänge ermöglichen den Transport von großen Fahrrädern (bis 1300 mm Radstand).
- Extra lange Felgenhaltebänder mit Ratschenfunktion gestatten die einfache Befestigung von Rädern (Radbreite bis 4.7 Zoll), wodurch der Transport von Fatbikes ermöglicht wird
- Einfache Befestigung der Fahrräder durch abnehmbare Fahrradhaltearme mit Thule AcuTight Drehmomentbegrenzer-Knöpfen, die ?klicken?, wenn das optimale Drehmoment erreicht ist
- Einfache Montage und Einstellung des Fahrradträgers vor dem Schließen des Spannhebels dank der stabilen Verbindung zur Anhängekupplung
- Praktischer Abklappmechanismus mit Fußpedal ermöglicht einfachen Zugang zum Kofferraum auch mit Fahrrädern auf dem Träger. Durch großen Abklappwinkel lassen sich sogar sehr große Heckklappen öffnen
- Schließen Sie Ihre Fahrräder am Fahrradträger und den Fahrradträger an der Anhängekupplung ab (Schlösser im Lieferumfang enthalten)

weiters auf der THULE Homepage"
