;id;price;area;rooms
0;1;1798;58;2
1;2;5880;210;7
2;3;4320;135;5
3;4;2244;68;2
4;5;700;28;1
5;6;1008;36;1
6;7;800;25;1
7;8;910;35;1
8;9;2916;108;4
9;10;2500;100;4
10;11;1209;39;1
11;12;3500;140;4
12;13;4644;172;4
13;14;2268;84;3
14;15;4080;120;3
15;16;5832;216;6
16;17;1566;54;2
17;18;2378;82;2
18;19;2475;99;3
19;20;1728;54;2
20;21;1088;34;1
21;22;4356;132;4
22;23;6120;180;5
23;24;2592;96;3
24;25;4092;132;4
25;26;7252;259;7
26;27;1500;60;2
27;28;8526;294;7
28;29;3483;129;3
29;30;4488;132;3
30;31;3720;124;4
31;32;1680;60;2
32;33;3078;114;3
33;34;8232;294;7
34;35;870;29;1
35;36;2700;90;3
36;37;2496;78;2
37;38;4590;135;5
38;39;3348;108;3
39;40;9471;287;7
40;41;1496;44;1
41;42;2856;84;3
42;43;1740;58;2
43;44;1300;52;2
44;45;3150;126;3
45;46;6188;182;7
46;47;5320;190;5
47;48;5916;174;6
48;49;5168;152;4
49;50;837;27;1
50;51;3900;130;5
51;52;3264;96;3
52;53;1350;54;2
53;54;961;31;1
54;55;3920;140;4
55;56;1566;58;2
56;57;7392;231;7
57;58;5544;198;6
58;59;4264;164;4
59;60;1276;44;1
60;61;6188;182;7
61;62;6076;217;7
62;63;3584;112;4
63;64;4320;160;5
64;65;1116;36;1
65;66;1560;52;2
66;67;1218;42;1
67;68;6235;215;5
68;69;3888;144;4
69;70;7380;246;6
70;71;3750;150;5
71;72;7095;215;5
72;73;2000;80;2
73;74;8736;273;7
74;75;6084;234;6
75;76;8256;258;6
76;77;2883;93;3
77;78;9408;294;7
78;79;8547;259;7
79;80;8960;280;7
80;81;4736;148;4
81;82;2310;70;2
82;83;7350;294;7
83;84;4805;155;5
84;85;832;32;1
85;86;2146;74;2
86;87;825;33;1
87;88;6708;258;6
88;89;7056;252;6
89;90;2176;68;2
90;91;8514;258;6
91;92;2175;87;3
92;93;9856;308;7
93;94;6048;224;7
94;95;5670;210;6
95;96;8127;301;7
96;97;2352;84;2
97;98;2958;87;3
98;99;5400;200;5
99;100;6720;210;6
100;101;2040;68;2
101;102;775;25;1
102;103;4704;168;6
103;104;1344;42;1
104;105;5880;210;5
105;106;3328;128;4
106;107;2970;99;3
107;108;7068;228;6
108;109;7344;216;6
109;110;7056;252;6
110;111;1075;43;1
111;112;2964;114;3
112;113;3168;99;3
113;114;3510;117;3
114;115;4000;160;5
115;116;2106;78;3
116;117;5376;168;4
117;118;3120;104;4
118;119;4408;152;4
119;120;2000;80;2
120;121;6384;228;6
121;122;1054;31;1
122;123;5800;200;5
123;124;1612;52;2
124;125;3042;117;3
125;126;8246;266;7
126;127;6860;245;7
127;128;4805;155;5
128;129;4960;160;5
129;130;3276;126;3
130;131;1350;50;2
131;132;7344;216;6
132;133;1836;54;2
133;134;1976;76;2
134;135;6144;192;6
135;136;5760;180;6
136;137;1326;39;1
137;138;2340;90;3
138;139;784;28;1
139;140;1131;39;1
140;141;4160;160;4
141;142;1512;56;2
142;143;5160;172;4
143;144;1450;50;2
144;145;2997;111;3
145;146;3900;150;6
146;147;6200;200;5
147;148;1188;44;1
148;149;2400;96;3
149;150;1050;35;1
150;151;2184;78;3
151;152;2000;80;2
152;153;6048;216;6
153;154;2688;96;3
154;155;3744;117;3
155;156;5400;200;5
156;157;858;26;1
157;158;884;26;1
158;159;3100;124;4
159;160;5984;176;4
160;161;2604;93;3
161;162;7200;240;6
162;163;9282;273;7
163;164;1682;58;2
164;165;5808;176;4
165;166;4092;132;4
166;167;6496;203;7
167;168;2912;104;4
168;169;5394;174;6
169;170;5670;210;5
170;171;6138;186;6
171;172;3456;108;4
172;173;3200;128;4
173;174;8190;273;7
174;175;5766;186;6
175;176;2400;96;3
176;177;9548;308;7
177;178;676;26;1
178;179;3720;120;3
179;180;3240;120;3
180;181;8400;280;7
181;182;3888;144;4
182;183;4340;140;5
183;184;5488;196;7
184;185;6336;192;6
185;186;5270;170;5
186;187;1458;54;2
187;188;7448;266;7
188;189;3360;112;4
189;190;8364;246;6
190;191;4524;156;6
191;192;4704;168;6
192;193;6400;200;5
193;194;6660;222;6
194;195;1920;60;2
195;196;1147;37;1
196;197;1247;43;1
197;198;1144;44;1
198;199;8364;246;6
199;200;4588;148;4
200;201;4914;189;7
201;202;3774;111;3
202;203;1984;64;2
203;204;2046;62;2
204;205;4900;196;7
205;206;3536;104;4
206;207;5940;180;5
207;208;3640;130;5
208;209;6732;204;6
209;210;5103;189;7
210;211;2688;84;2
211;212;928;29;1
212;213;3640;130;5
213;214;6560;205;5
214;215;3132;108;3
215;216;2516;74;2
216;217;6600;200;5
217;218;930;30;1
218;219;1320;44;1
219;220;9471;287;7
220;221;6090;203;7
221;222;3016;116;4
222;223;1976;76;2
223;224;2550;102;3
224;225;7749;287;7
225;226;3510;117;3
226;227;9471;287;7
227;228;3060;90;3
228;229;810;27;1
229;230;5292;196;7
230;231;8323;287;7
231;232;3267;99;3
232;233;3672;108;3
233;234;6076;217;7
234;235;5916;204;6
235;236;2835;105;3
236;237;2340;78;3
237;238;3944;136;4
238;239;870;30;1
239;240;5084;164;4
240;241;5070;195;5
241;242;3016;116;4
242;243;3534;114;3
243;244;702;26;1
244;245;7656;264;6
245;246;2232;72;2
246;247;3136;112;4
247;248;1716;52;2
248;249;4680;180;5
249;250;1664;52;2
250;251;4374;162;6
251;252;6450;215;5
252;253;1404;54;2
253;254;3552;111;3
254;255;6188;238;7
255;256;2997;111;3
256;257;891;27;1
257;258;1508;52;2
258;259;1053;39;1
259;260;3120;120;4
260;261;800;25;1
261;262;7560;252;7
262;263;4992;192;6
263;264;2784;87;3
264;265;6720;210;6
265;266;4257;129;3
266;267;3952;152;4
267;268;6552;252;7
268;269;6800;200;5
269;270;3480;120;4
270;271;5270;155;5
271;272;4160;130;5
272;273;7714;266;7
273;274;4050;150;5
274;275;3968;128;4
275;276;1419;43;1
276;277;3456;108;4
277;278;1320;40;1
278;279;1056;33;1
279;280;2700;100;4
280;281;2175;75;3
281;282;2883;93;3
282;283;7770;259;7
283;284;5248;164;4
284;285;1566;58;2
285;286;5440;160;4
286;287;1350;50;2
287;288;900;30;1
288;289;4060;140;5
289;290;3960;120;3
290;291;4250;125;5
291;292;5600;175;7
292;293;5510;190;5
293;294;1800;72;2
294;295;2376;88;2
295;296;4576;176;4
296;297;918;34;1
297;298;957;29;1
298;299;1920;60;2
299;300;9184;287;7
300;301;775;25;1
301;302;7826;301;7
302;303;7700;308;7
303;304;1023;33;1
304;305;4480;140;4
305;306;4836;186;6
306;307;4080;136;4
307;308;8772;258;6
308;309;2816;88;2
309;310;4995;185;5
310;311;2900;100;4
311;312;4030;155;5
312;313;1118;43;1
313;314;3720;120;4
314;315;6496;203;7
315;316;896;28;1
316;317;5676;172;4
317;318;6426;238;7
318;319;5510;190;5
319;320;6660;222;6
320;321;5684;203;7
321;322;837;31;1
322;323;2352;84;3
323;324;1848;56;2
324;325;4680;180;6
325;326;3528;126;3
326;327;6150;205;5
327;328;6888;246;6
328;329;1209;39;1
329;330;2580;86;2
