datetime;hour;drain;waterlevel;temperature;hazard_level
2023-05-08 08:41:21;08:41:21;204.0;356.0;11.0;GS1
2023-05-08 08:42:18;08:42:18;204.0;356.0;11.0;GS1
2023-05-08 08:43:08;08:43:08;204.0;356.0;11.0;GS1
2023-05-08 08:44:08;08:44:08;204.0;356.0;11.0;GS1
2023-05-08 08:44:20;08:44:20;204.0;356.0;11.0;GS1
2023-05-08 08:45:20;08:45:20;204.0;356.0;11.0;GS1
2023-05-08 08:46:20;08:46:20;204.0;356.0;11.0;GS1
2023-05-08 08:47:21;08:47:21;204.0;356.0;11.0;GS1
2023-05-08 08:47:37;08:47:37;204.0;356.0;11.0;GS1
2023-05-08 08:48:36;08:48:36;201.0;356.0;11.0;GS1
2023-05-08 08:49:36;08:49:36;201.0;356.0;11.0;GS1
2023-05-08 08:50:36;08:50:36;201.0;356.0;11.0;GS1
2023-05-08 08:51:40;08:51:40;201.0;356.0;11.0;GS1
2023-05-08 08:52:20;08:52:20;201.0;356.0;11.0;GS1
2023-05-08 08:53:02;08:53:02;201.0;356.0;11.0;GS1
2023-05-08 08:54:02;08:54:02;201.0;356.0;11.0;GS1
2023-05-08 08:55:03;08:55:03;201.0;356.0;11.0;GS1
2023-05-08 08:56:03;08:56:03;201.0;356.0;11.0;GS1
2023-05-08 08:56:32;08:56:32;201.0;356.0;11.0;GS1
2023-05-08 08:57:32;08:57:32;201.0;356.0;11.0;GS1
2023-05-08 08:58:19;08:58:19;198.0;356.0;11.0;GS1
2023-05-08 08:59:20;08:59:20;198.0;356.0;11.0;GS1
2023-05-08 09:00:20;09:00:20;198.0;356.0;11.0;GS1
2023-05-08 09:01:20;09:01:20;198.0;356.0;11.0;GS1
2023-05-08 09:02:20;09:02:20;198.0;356.0;11.0;GS1
2023-05-08 09:03:21;09:03:21;198.0;356.0;11.0;GS1
2023-05-08 09:03:29;09:03:29;198.0;356.0;11.0;GS1
2023-05-08 09:04:27;09:04:27;198.0;356.0;11.0;GS1
2023-05-08 09:04:54;09:04:54;198.0;356.0;11.0;GS1
2023-05-08 09:09:20;09:09:20;195.0;356.0;11.0;GS1
2023-05-08 09:10:20;09:10:20;195.0;356.0;11.0;GS1
2023-05-08 09:11:20;09:11:20;195.0;356.0;11.0;GS1
2023-05-08 09:12:16;09:12:16;195.0;356.0;11.0;GS1
2023-05-08 09:13:16;09:13:16;195.0;356.0;11.0;GS1
2023-05-08 09:13:45;09:13:45;195.0;356.0;11.0;GS1
2023-05-08 09:14:45;09:14:45;195.0;356.0;11.0;GS1
2023-05-08 09:15:45;09:15:45;195.0;356.0;11.0;GS1
2023-05-08 09:16:00;09:16:00;195.0;356.0;11.0;GS1
2023-05-08 09:17:00;09:17:00;195.0;356.0;11.0;GS1
2023-05-08 09:18:00;09:18:00;192.0;356.0;11.0;GS1
2023-05-08 09:18:55;09:18:55;192.0;356.0;11.0;GS1
2023-05-08 09:19:06;09:19:06;192.0;356.0;11.0;GS1
2023-05-08 09:19:16;09:19:16;192.0;356.0;11.0;GS1
2023-05-08 09:19:26;09:19:26;192.0;356.0;11.0;GS1
2023-05-08 09:19:37;09:19:37;192.0;356.0;11.0;GS1
2023-05-08 09:19:47;09:19:47;192.0;356.0;11.0;GS1
2023-05-08 09:19:57;09:19:57;192.0;356.0;11.0;GS1
2023-05-08 09:20:07;09:20:07;192.0;356.0;11.0;GS1
2023-05-08 09:20:17;09:20:17;192.0;356.0;11.0;GS1
2023-05-08 09:20:28;09:20:28;192.0;356.0;11.0;GS1
2023-05-08 09:20:38;09:20:38;192.0;356.0;11.0;GS1
2023-05-08 09:20:48;09:20:48;192.0;356.0;11.0;GS1
2023-05-08 09:20:58;09:20:58;192.0;356.0;11.0;GS1
2023-05-08 09:21:09;09:21:09;192.0;356.0;11.0;GS1
2023-05-08 09:21:19;09:21:19;192.0;356.0;11.0;GS1
2023-05-08 09:21:29;09:21:29;192.0;356.0;11.0;GS1
2023-05-08 09:21:40;09:21:40;192.0;356.0;11.0;GS1
2023-05-08 09:21:50;09:21:50;192.0;356.0;11.0;GS1
2023-05-08 09:22:00;09:22:00;192.0;356.0;11.0;GS1
2023-05-08 09:22:10;09:22:10;192.0;356.0;11.0;GS1
2023-05-08 09:22:21;09:22:21;192.0;356.0;11.0;GS1
2023-05-08 09:22:31;09:22:31;192.0;356.0;11.0;GS1
2023-05-08 09:22:41;09:22:41;192.0;356.0;11.0;GS1
2023-05-08 09:22:51;09:22:51;192.0;356.0;11.0;GS1
2023-05-08 09:23:02;09:23:02;192.0;356.0;11.0;GS1
2023-05-08 09:23:12;09:23:12;192.0;356.0;11.0;GS1
2023-05-08 09:23:22;09:23:22;192.0;356.0;11.0;GS1
2023-05-08 09:23:32;09:23:32;192.0;356.0;11.0;GS1
2023-05-08 09:23:43;09:23:43;192.0;356.0;11.0;GS1
2023-05-08 09:23:53;09:23:53;192.0;356.0;11.0;GS1
2023-05-08 09:24:03;09:24:03;192.0;356.0;11.0;GS1
2023-05-08 09:24:13;09:24:13;192.0;356.0;11.0;GS1
2023-05-08 09:24:24;09:24:24;192.0;356.0;11.0;GS1
2023-05-08 09:24:34;09:24:34;192.0;356.0;11.0;GS1
2023-05-08 09:24:44;09:24:44;192.0;356.0;11.0;GS1
2023-05-08 09:24:54;09:24:54;192.0;356.0;11.0;GS1
2023-05-08 09:25:04;09:25:04;192.0;356.0;11.0;GS1
