datetime;hour;location;river;waterlevel;drain
2024-04-20 16:17:14;16:17:14;Andelfingen;Thur;35551.1;71.0
2024-04-20 16:17:14;16:17:14;Andelfingen;Thur;35551.1;71.0
2024-04-20 16:17:24;16:17:24;Andelfingen;Thur;35551.1;71.0
2024-04-20 16:17:35;16:17:35;Andelfingen;Thur;35551.1;71.0
2024-04-20 16:17:45;16:17:45;Andelfingen;Thur;35551.1;71.0
2024-04-20 16:17:56;16:17:56;Andelfingen;Thur;35551.1;71.0
2024-04-20 16:18:06;16:18:06;Andelfingen;Thur;35551.1;71.0
2024-04-20 16:18:17;16:18:17;Andelfingen;Thur;35551.1;71.0
2024-04-20 16:18:27;16:18:27;Andelfingen;Thur;35551.1;71.0
2024-04-20 16:18:37;16:18:37;Andelfingen;Thur;35551.1;71.0
2024-04-20 16:19:08;16:19:08;Andelfingen;Thur;35551.1;71.0
2024-04-20 16:19:19;16:19:19;Andelfingen;Thur;35551.1;71.0
2024-04-20 16:19:29;16:19:29;Andelfingen;Thur;35551.1;71.0
